@relation WGN0331_data

@attribute TradingPeriod numeric
@attribute IsProxyPriceFlag numeric
@attribute Med$PerMWHr numeric
@attribute IntTime numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Avg$PerMWHr numeric

@data
5,0,0.475,7632.5,2022,12,7,0.3675
6,0,0.02,9583,2022,12,7,0.024
7,0,0.02,11382,2022,12,7,0.02
8,0,0.02,13202,2022,12,7,0.02
9,0,0.02,14997,2022,12,7,0.02
10,0,0.01,16809,2022,12,7,0.015714
11,0,0.03,18595,2022,12,7,0.025714
12,0,0.45,20405,2022,12,7,0.621429
13,0,0.03,22205,2022,12,7,0.151429
14,0,2.9,23999,2022,12,7,2.022857
15,0,4.82,25800,2022,12,7,3.745714
16,0,2.89,27608,2022,12,7,2.721429
17,0,2.8,29385,2022,12,7,1.77
18,0,0.45,31196,2022,12,7,1.124286
19,0,0.45,32991,2022,12,7,1.45
20,0,0.225,34933,2022,12,7,0.225
21,0,0.03,36582,2022,12,7,0.03
22,0,0.03,38538.5,2022,12,7,0.03
23,0,0.12,39883,2022,12,7,0.206667
24,0,0.42,42299,2022,12,7,0.366
25,0,0.415,43937,2022,12,7,0.34
26,0,0.44,45750.5,2022,12,7,0.443333
27,0,0.44,47244,2022,12,7,0.438333
28,0,0.11,49213,2022,12,7,0.145714
29,0,0.04,51017,2022,12,7,0.094286
30,0,0.03,52793,2022,12,7,0.085714
31,0,0.03,54594,2022,12,7,0.097143
32,0,0.03,55958.5,2022,12,7,0.135
33,0,0.44,58183,2022,12,7,0.687143
34,0,2.655,60146,2022,12,7,2.655
35,0,0.44,61477,2022,12,7,0.446667
36,0,2.69,63735.5,2022,12,7,2.671667
37,0,2.83,65989,2022,12,7,2.82
38,0,2.745,67337,2022,12,7,2.391667
39,0,0.45,68987,2022,12,7,0.444286
40,0,0.46,70795,2022,12,7,0.938
41,0,0.03,72734,2022,12,7,0.166667
42,0,0.46,74540,2022,12,7,0.865
43,0,0.47,76347.5,2022,12,7,1.286667
44,0,0.44,78025,2022,12,7,0.282
45,0,0.47,79811,2022,12,7,0.694286
46,0,0.02,81743.5,2022,12,7,0.176667
47,0,0.245,83535,2022,12,7,0.246667
48,0,0.02,85036.5,2022,12,7,0.17
1,0,3.1,907,2022,12,8,3.184286
2,0,0.49,2406,2022,12,8,1.222857
3,0,3.82,4340.5,2022,12,8,3.021667
4,0,0.5,6150.5,2022,12,8,0.496667
5,0,0.5,7950.5,2022,12,8,0.5
6,0,0.51,9891,2022,12,8,0.51
7,0,3.16,11382,2022,12,8,2.701429
8,0,3.08,13336,2022,12,8,2.25
9,0,0.5,14984,2022,12,8,1.258571
10,0,0.49,16949,2022,12,8,0.866667
11,0,0.5,18599,2022,12,8,1.805714
12,0,0.03,20382,2022,12,8,0.922857
13,0,5.01,22184,2022,12,8,6.552857
14,0,9.65,24015,2022,12,8,10.585714
15,0,7.03,25857,2022,12,8,10.231429
16,0,15.38,27594,2022,12,8,42.132857
17,0,15.45,29467,2022,12,8,14.722857
18,0,15.03,31191,2022,12,8,12.691429
19,0,135.81,33065,2022,12,8,130.208571
20,0,93.27,34795,2022,12,8,90.061429
21,0,120.545,36728,2022,12,8,118.885
22,0,15,38532,2022,12,8,16.61
23,0,5.235,40331,2022,12,8,5.351667
24,0,15.04,42127,2022,12,8,15.041667
25,0,79.88,43945.5,2022,12,8,82.146667
26,0,79.25,45593,2022,12,8,79.322
27,0,79.58,47692,2022,12,8,69.896
28,0,24.51,49190,2022,12,8,20.671429
29,0,12.17,50998,2022,12,8,12.26
30,0,12.19,52808,2022,12,8,12.568571
31,0,5.46,54600,2022,12,8,8.132857
32,0,12.41,56086,2022,12,8,12.738
33,0,13.65,58186,2022,12,8,13.65
34,0,14.96,58597.5,2022,12,8,14.96
35,0,15.4,62081,2022,12,8,15.8375
36,0,10.53,63735,2022,12,8,10.53
37,0,10.9,65681,2022,12,8,11.712
38,0,10.985,67339.5,2022,12,8,12.461667
39,0,13.89,69137,2022,12,8,13.825
40,0,14.68,70943.5,2022,12,8,14.661667
41,0,15.265,72736,2022,12,8,15.303333
42,0,20.065,74540,2022,12,8,19.755
43,0,20.02,76181,2022,12,8,20.034286
44,0,19.13,78155.5,2022,12,8,19.078333
45,0,18.44,79808,2022,12,8,17.905714
46,0,18.86,81593,2022,12,8,16.745714
47,0,14.1,83554,2022,12,8,14.001667
48,0,11.15,85193,2022,12,8,12.41
1,0,19.075,1044,2022,12,9,19.083333
2,0,18.74,2533.5,2022,12,9,17.428333
3,0,18.575,4333,2022,12,9,18.528333
4,0,18.33,6130,2022,12,9,17.03
5,0,10.36,7941,2022,12,9,10.346667
6,0,6.065,9746,2022,12,9,7.428333
7,0,6,11533,2022,12,9,6.606667
8,0,8.2,13191.5,2022,12,9,8.19
9,0,10.34,15293,2022,12,9,10.353333
10,0,6.09,16823,2022,12,9,7.144
11,0,5.51,18584,2022,12,9,9.567143
12,0,18.865,20533.5,2022,12,9,15.57
13,0,19.63,22346,2022,12,9,18.408333
14,0,18.56,24010,2022,12,9,17.517143
15,0,20.76,25797,2022,12,9,20.271429
16,0,24.83,27591,2022,12,9,24.612
17,0,68.39,29392,2022,12,9,68.12
18,0,93.59,31513,2022,12,9,92.322
19,0,95.84,32990,2022,12,9,92.161429
20,0,78.675,34636.5,2022,12,9,78.1525
21,0,71.95,36285,2022,12,9,72.52
22,0,117.22,38088,2022,12,9,114.29
23,0,146.925,38796,2022,12,9,146.925
24,0,79.65,42115,2022,12,9,79.65
25,0,79.5,43794,2022,12,9,79.024
26,0,62.72,45596,2022,12,9,64.448571
27,0,65.565,47240.5,2022,12,9,65.448333
28,0,78.7,49338.5,2022,12,9,74.445
29,0,114.925,50963,2022,12,9,125.936667
30,0,176.02,53390,2022,12,9,149.7
31,0,59.46,54584,2022,12,9,48.948571
32,0,72.345,56246.5,2022,12,9,82.048333
33,0,58.93,58339,2022,12,9,60.32
34,0,60.23,59847,2022,12,9,64.1475
35,0,54.22,61490,2022,12,9,43.998
36,0,41.03,63150.5,2022,12,9,41.03
37,0,41.43,65532,2022,12,9,42.708333
38,0,23.155,67334.5,2022,12,9,23.85
39,0,28.405,69134,2022,12,9,25.448333
40,0,28.1,70788,2022,12,9,25.724286
41,0,23.51,72753,2022,12,9,24.25
42,0,42.52,74411,2022,12,9,36.797143
43,0,20.74,76204,2022,12,9,22.855714
44,0,33.13,77994,2022,12,9,31.028571
45,0,19.85,79794,2022,12,9,21.811429
46,0,19.12,81603,2022,12,9,18.098571
47,0,28.925,83255.5,2022,12,9,26.6625
48,0,19.08,85121,2022,12,9,22.1325
1,0,29.54,920,2022,12,10,29.552857
2,0,29.16,2381,2022,12,10,27.76
3,0,29.15,4331.5,2022,12,10,27.511667
4,0,14.67,6134,2022,12,10,17.925
5,0,10.415,7945,2022,12,10,10.593333
6,0,10.405,9735,2022,12,10,10.786667
7,0,10.435,11530,2022,12,10,12.555
8,0,10.365,13327,2022,12,10,10.445
9,0,10.28,14986,2022,12,10,10.284
10,0,3.24,16799,2022,12,10,4.951429
11,0,10.27,18581,2022,12,10,7.372857
12,0,3.19,20388,2022,12,10,4.982857
13,0,3.17,22192,2022,12,10,4.251429
14,0,0.22,24003,2022,12,10,1.385714
15,0,4.62,25941.5,2022,12,10,4.278333
16,0,7.58,27737,2022,12,10,8.08
17,0,12,29538,2022,12,10,10.52
18,0,11.2,31337.5,2022,12,10,10.905
19,0,17.57,32988,2022,12,10,16.264286
20,0,17.71,34207,2022,12,10,14.433333
21,0,20.07,36471,2022,12,10,19.133333
22,0,20.29,38401,2022,12,10,20.306
23,0,20.3,39603,2022,12,10,19.403333
24,0,20.125,41833.5,2022,12,10,20.1425
25,0,16.75,42404.5,2022,12,10,16.75
26,0,19.87,45681,2022,12,10,18.47
27,0,17.97,47538,2022,12,10,17.991667
28,0,18.15,49334.5,2022,12,10,17.943333
29,0,18.15,51144,2022,12,10,17.963333
30,0,18.17,52792,2022,12,10,16.644286
31,0,20.1,54736.5,2022,12,10,20.046667
32,0,20.18,56086,2022,12,10,20.153333
33,0,6.77,58222,2022,12,10,7.287143
34,0,12.075,59847,2022,12,10,12.01
35,0,10.79,61645.5,2022,12,10,10.785
36,0,21.68,63726.5,2022,12,10,20.456667
37,0,9.885,65535.5,2022,12,10,10.113333
38,0,5.46,67366,2022,12,10,6.49
39,0,0.39,69135.5,2022,12,10,1.96
40,0,0.33,70928.5,2022,12,10,1.788333
41,0,0.03,72763,2022,12,10,0.026667
42,0,0.03,74537,2022,12,10,0.03
43,0,4.09,76180,2022,12,10,3.96
44,0,4.19,78147.5,2022,12,10,3.5
45,0,10.73,79805,2022,12,10,11.925714
46,0,12.58,81611,2022,12,10,18.732857
47,0,12.5,83401,2022,12,10,13.192857
48,0,10.36,85203,2022,12,10,7.238571
1,0,9.79,899,2022,12,11,8.462857
2,0,1.995,2528.5,2022,12,11,3.01
3,0,4.16,4337.5,2022,12,11,4.615
4,0,0.01,6126.5,2022,12,11,0.013333
5,0,0.01,7938.5,2022,12,11,0.01
6,0,0.01,9758.5,2022,12,11,0.01
7,0,0.01,11544,2022,12,11,0.01
8,0,0.01,13345.5,2022,12,11,0.013333
9,0,0.01,14729,2022,12,11,0.012
10,0,0.01,16643,2022,12,11,0.01
11,0,0.01,18589,2022,12,11,0.012857
12,0,0.02,20387,2022,12,11,0.02
13,0,0.02,22247,2022,12,11,0.022857
14,0,0.02,24006,2022,12,11,0.05
15,0,0.1,25806,2022,12,11,0.097143
16,0,0.02,27614,2022,12,11,0.595714
17,0,0.05,29407.5,2022,12,11,0.736667
18,0,4.1,31220,2022,12,11,5.137143
19,0,10.13,32991,2022,12,11,9.374286
20,0,10.01,34775,2022,12,11,9.167143
21,0,9.44,36280,2022,12,11,8.636667
22,0,9.775,38085,2022,12,11,9.775
23,0,9.39,40185.5,2022,12,11,9.39
24,0,5.18,42278,2022,12,11,5.694
25,0,8.14,43932.5,2022,12,11,7.95
26,0,4.045,45773,2022,12,11,4.59
27,0,0.14,47425,2022,12,11,1.728571
28,0,3.83,49195,2022,12,11,3.341429
29,0,3.85,51007,2022,12,11,3.368571
30,0,4.1,52826,2022,12,11,3.844286
31,0,5.18,54595,2022,12,11,4.67
32,0,9.91,56378,2022,12,11,7.758571
33,0,9.915,58330,2022,12,11,9.026667
34,0,10.21,60130,2022,12,11,10.188333
35,0,10.02,61781,2022,12,11,8.376
36,0,9.95,63725,2022,12,11,9.955
37,0,9.88,65391,2022,12,11,9.041429
38,0,9.84,67281,2022,12,11,8.608571
39,0,10.53,68993,2022,12,11,9.874286
40,0,9.48,70786,2022,12,11,8.628571
41,0,3.98,72595,2022,12,11,4.705714
42,0,7.43,74398,2022,12,11,6.938571
43,0,17.06,76182,2022,12,11,16.15
44,0,17.7,77988,2022,12,11,17.424286
45,0,9.945,79937,2022,12,11,10.585
46,0,10.32,81577,2022,12,11,10.478571
47,0,17.79,83389,2022,12,11,16.284286
48,0,6.925,85336.5,2022,12,11,6.371667
1,0,0.02,905,2022,12,12,0.02
2,0,0.02,2535,2022,12,12,0.018333
3,0,0.02,3630,2022,12,12,1.38
4,0,0.02,5560.5,2022,12,12,0.0175
5,0,0.02,7497,2022,12,12,0.02
6,0,0.01,9604,2022,12,12,0.01
7,0,0.01,11539.5,2022,12,12,0.01
8,0,0.01,13338,2022,12,12,0.01
9,0,0.02,15149.5,2022,12,12,0.016667
10,0,0.02,16936.5,2022,12,12,0.02
11,0,0.02,18575,2022,12,12,0.044
12,0,0.02,20546,2022,12,12,0.06
13,0,0.02,22194,2022,12,12,0.745714
14,0,0.49,24006,2022,12,12,3.491429
15,0,10.47,25801,2022,12,12,12.965714
16,0,10.13,27622,2022,12,12,13.45
17,0,64.79,29435,2022,12,12,55.077143
18,0,69.29,31207,2022,12,12,61.134286
19,0,69.47,33029,2022,12,12,75.604286
20,0,179.96,34240,2022,12,12,144.126667
21,0,65.75,36593,2022,12,12,66.532857
22,0,121.77,37937,2022,12,12,121.77
23,0,82.66,40032,2022,12,12,89.5775
24,0,104.3,41830,2022,12,12,104.3
25,0,205.975,43341.5,2022,12,12,185.52
26,0,186.81,45619,2022,12,12,176.171429
27,0,233.03,47390,2022,12,12,208.705714
28,0,230.73,49200,2022,12,12,206.537143
29,0,233.65,51003,2022,12,12,215.05
30,0,229.31,52804,2022,12,12,206.44
31,0,21.32,54604,2022,12,12,35.778571
32,0,255.24,56235,2022,12,12,239.301667
33,0,250.02,58204.5,2022,12,12,250.0175
34,0,251.08,60580,2022,12,12,251.453333
35,0,21.26,61493,2022,12,12,25.326
36,0,210.965,63762,2022,12,12,184.841667
37,0,62.11,65695,2022,12,12,94.19
38,0,61.32,67190,2022,12,12,54.331429
39,0,24.24,68992,2022,12,12,37.395714
40,0,20.415,70940.5,2022,12,12,20.46
41,0,10.51,72599,2022,12,12,11.988571
42,0,14.41,74418,2022,12,12,13.94
43,0,34.61,76206,2022,12,12,31.898571
44,0,33.67,77988,2022,12,12,33.347143
45,0,19.43,79934.5,2022,12,12,19.04
46,0,19.4,81591,2022,12,12,19.257143
47,0,19.295,83542.5,2022,12,12,16.473333
48,0,10.49,85195,2022,12,12,14.194286
1,0,19.5,1045,2022,12,13,19.471667
2,0,19.21,2541,2022,12,13,19.24
3,0,19.165,4347,2022,12,13,19.163333
4,0,19.05,6132.5,2022,12,13,18.986667
5,0,18.41,7949,2022,12,13,18.145
6,0,10.805,9740,2022,12,13,10.84
7,0,7.27,11544.5,2022,12,13,7.318333
8,0,0.52,13189,2022,12,13,1.595714
9,0,4.325,15138.5,2022,12,13,4.331667
10,0,10.365,16934,2022,12,13,8.438333
11,0,16.14,18588,2022,12,13,14.325714
12,0,19.47,20535,2022,12,13,17.2325
13,0,20.615,22361.5,2022,12,13,28.995
14,0,24.5,24003,2022,12,13,40.732857
15,0,58.55,25793,2022,12,13,55.255714
16,0,70.78,27344,2022,12,13,101.07
17,0,160.52,29347,2022,12,13,159.721667
18,0,70.245,31056.5,2022,12,13,96.891667
19,0,249.09,32746,2022,12,13,206.174
20,0,99.52,34506,2022,12,13,96.094
21,0,141.62,36199.5,2022,12,13,121.735
22,0,140.77,38088,2022,12,13,126.84
23,0,141.085,39790,2022,12,13,123.6625
24,0,140.8,42331,2022,12,13,126.77
25,0,48,43489,2022,12,13,193.64
26,0,73.845,45455.5,2022,12,13,129.755
27,0,67.89,47161,2022,12,13,90.558
28,0,140.72,48949,2022,12,13,110.742
29,0,99.47,50999,2022,12,13,117.202857
30,0,104.97,52814.5,2022,12,13,104.675
31,0,317.41,54199,2022,12,13,278.095
32,0,401.21,55961,2022,12,13,319.915
33,0,43.5,58044,2022,12,13,41.953333
34,0,39.03,59703,2022,12,13,47.176
35,0,69.615,61640.5,2022,12,13,59.151667
36,0,39.14,63288,2022,12,13,47.278
37,0,11.68,65539,2022,12,13,16.895
38,0,20.615,67332.5,2022,12,13,25.216667
39,0,10.105,69130,2022,12,13,9.143333
40,0,4.56,70928,2022,12,13,6.281667
41,0,9.945,72737.5,2022,12,13,8.215
42,0,21.47,74533,2022,12,13,27.923333
43,0,121.25,76329,2022,12,13,113.388333
44,0,50.08,78187.5,2022,12,13,49.238333
45,0,19.42,79918,2022,12,13,16.67
46,0,18.21,81606,2022,12,13,16.35
47,0,19.12,83388,2022,12,13,17.532857
48,0,18.78,85206,2022,12,13,18.871429
1,0,14.52,910,2022,12,14,14.031429
2,0,14.41,2386,2022,12,14,14.438571
3,0,14.26,4325.5,2022,12,14,13.731667
4,0,10.72,6132.5,2022,12,14,10.74
5,0,4.175,8240,2022,12,14,5.71
6,0,4.095,9732,2022,12,14,5.116667
7,0,7.425,11531,2022,12,14,7.4375
8,0,10.59,13356.5,2022,12,14,10.793333
9,0,0.52,14848,2022,12,14,1.668333
10,0,0.52,16805,2022,12,14,3.83
11,0,14.97,18608,2022,12,14,11.665714
12,0,10.99,20423,2022,12,14,10.76
13,0,68.86,22191,2022,12,14,53.527143
14,0,21.93,24027,2022,12,14,36.735714
15,0,72.05,25814,2022,12,14,91.575714
16,0,67.26,27587,2022,12,14,59.672857
17,0,103.41,29393,2022,12,14,96.618571
18,0,137.87,31192,2022,12,14,114.887143
19,0,288.58,32993,2022,12,14,219.967143
20,0,87.09,34375.5,2022,12,14,81.2675
21,0,289.19,36587,2022,12,14,262.441429
22,0,240.58,38394,2022,12,14,207.986
23,0,358.64,40074,2022,12,14,326.621667
24,0,236.73,41491,2022,12,14,188.373333
25,0,121.945,43693.5,2022,12,14,171.806667
26,0,81.55,45606,2022,12,14,79.197143
27,0,71.94,47406,2022,12,14,73.911667
28,0,72.06,49175,2022,12,14,71.846
29,0,72.76,50980,2022,12,14,71.077143
30,0,70.825,52923.5,2022,12,14,68.013333
31,0,71.58,54668.5,2022,12,14,68.8025
32,0,81.725,56236.5,2022,12,14,77.835
33,0,75.84,58370,2022,12,14,75.248333
34,0,21.48,60131,2022,12,14,20.98
35,0,12.14,61818,2022,12,14,15.741429
36,0,31.81,63586,2022,12,14,33.568571
37,0,5.05,65380,2022,12,14,6.815714
38,0,3.98,67328,2022,12,14,4.921667
39,0,9.86,69131,2022,12,14,8.011667
40,0,4.09,70927.5,2022,12,14,6.11
41,0,7.165,72737,2022,12,14,7.153333
42,0,10.05,74530,2022,12,14,9.115
43,0,10.83,76326,2022,12,14,11.168333
44,0,4.095,78154.5,2022,12,14,4.95
45,0,0.52,79672.5,2022,12,14,1.636667
46,0,0.52,81618,2022,12,14,2.04
47,0,0.55,83417,2022,12,14,2.015714
48,0,4.21,85214,2022,12,14,6.905714
1,0,14.33,908,2022,12,15,13.508571
2,0,13.04,2377,2022,12,15,12.825714
3,0,14.295,4327.5,2022,12,15,14.305
4,0,14.31,6125,2022,12,15,14.103333
5,0,12.98,7776,2022,12,15,12.934
6,0,12.87,8992,2022,12,15,12.87
7,0,12.7,11683,2022,12,15,13.038
8,0,10.43,13198,2022,12,15,10.413333
9,0,10.36,15025,2022,12,15,7.744286
10,0,10.43,16833,2022,12,15,10.828571
11,0,14.48,18596,2022,12,15,12.962857
12,0,0.5,20405,2022,12,15,2.014286
13,0,4.2,22197,2022,12,15,5.865714
14,0,3.91,24004,2022,12,15,4.375714
15,0,10.37,25819,2022,12,15,9.44
16,0,24.51,27600,2022,12,15,22.311429
17,0,82.26,29554,2022,12,15,78.28875
18,0,82.36,31232,2022,12,15,79.66
19,0,99.51,33010,2022,12,15,90.62
20,0,67.65,34636,2022,12,15,60.993333
21,0,99.49,36595,2022,12,15,82.492
22,0,29.74,38395,2022,12,15,45.368571
23,0,75.335,40337.5,2022,12,15,71.681667
24,0,99.92,41988,2022,12,15,87.797143
25,0,25.465,44211,2022,12,15,25.2925
26,0,16.18,45744,2022,12,15,15.635
27,0,18.935,46957.5,2022,12,15,17.6675
28,0,20.33,49188,2022,12,15,17.588571
29,0,29.86,50990,2022,12,15,30.21
30,0,100.23,52792,2022,12,15,92.191429
31,0,112.45,54605,2022,12,15,110.648571
32,0,107.715,56530.5,2022,12,15,107.1
33,0,100.895,58339,2022,12,15,103.111667
34,0,99.705,60170,2022,12,15,77.741667
35,0,16.13,61783,2022,12,15,16.415714
36,0,10.035,63738,2022,12,15,11.051667
37,0,10.285,65546.5,2022,12,15,11.211667
38,0,10.265,67321,2022,12,15,11.141667
39,0,9.34,69124,2022,12,15,9.598333
40,0,9.12,70921,2022,12,15,9.11
41,0,9.03,72724.5,2022,12,15,9.026667
42,0,10.275,74531.5,2022,12,15,10.081667
43,0,15.535,76322.5,2022,12,15,15.523333
44,0,15.105,78147.5,2022,12,15,15.163333
45,0,11.22,79808,2022,12,15,12.584286
46,0,12.985,81458.5,2022,12,15,12.868333
47,0,15.1,83444,2022,12,15,15.055714
48,0,15.03,85237,2022,12,15,13.944286
1,0,10.83,900,2022,12,16,11.94
2,0,14.91,2367,2022,12,16,14.32
3,0,12.55,4319.5,2022,12,16,12.541667
4,0,12.895,6120,2022,12,16,12.643333
5,0,10.89,7925,2022,12,16,11.325
6,0,10.495,9728,2022,12,16,10.595
7,0,10.685,11521,2022,12,16,10.655
8,0,10.28,13192,2022,12,16,8.058571
9,0,4.36,14700,2022,12,16,5.946
10,0,2.385,16943.5,2022,12,16,3.36
11,0,10.28,18575,2022,12,16,8.56
12,0,10.21,20399,2022,12,16,10.215714
13,0,10.505,22336,2022,12,16,9.335
14,0,7.29,24147,2022,12,16,8.286667
15,0,10.32,25784,2022,12,16,12.215714
16,0,18.52,27591,2022,12,16,29.674286
17,0,82.49,29391,2022,12,16,83.368571
18,0,230.96,31203,2022,12,16,216.875714
19,0,233.265,33217.5,2022,12,16,215.076667
20,0,232.92,34941.5,2022,12,16,232.676667
21,0,177.705,36733.5,2022,12,16,174.163333
22,0,109.49,38532,2022,12,16,109.56
23,0,146.26,40343,2022,12,16,149.65
24,0,166.605,42141.5,2022,12,16,146.125
25,0,119.69,44254,2022,12,16,138.414
26,0,118.475,45743.5,2022,12,16,125.77
27,0,101.18,47390,2022,12,16,70
28,0,102.21,49197,2022,12,16,79.88
29,0,101.99,50850.5,2022,12,16,78.31
30,0,417.23,52810,2022,12,16,333.672
31,0,410.46,55306,2022,12,16,324.408
32,0,104.27,56919,2022,12,16,195.7
33,0,182.23,58345,2022,12,16,160.265
34,0,27.35,60136.5,2022,12,16,25.905
35,0,18.55,62079,2022,12,16,18.674
36,0,16.27,63601,2022,12,16,17.118571
37,0,15.81,65240,2022,12,16,15.696667
38,0,15.88,67469,2022,12,16,15.892
39,0,19.97,68970,2022,12,16,18.422
40,0,18.27,70923.5,2022,12,16,18.125
41,0,15.5,72733,2022,12,16,15.751667
42,0,15.62,74532,2022,12,16,15.62
43,0,15.69,75871,2022,12,16,15.656667
44,0,15.29,78139,2022,12,16,15.293333
45,0,15.01,79785,2022,12,16,13.741429
46,0,8.85,81580,2022,12,16,8.998571
47,0,9.96,83394,2022,12,16,7.254286
48,0,2.1,85207,2022,12,16,2.374286
1,0,2.21,973,2022,12,17,2.335714
2,0,0.51,2382,2022,12,17,0.5
3,0,0.505,4319,2022,12,17,0.498333
4,0,4.23,5969,2022,12,17,5.304286
5,0,4.17,7925,2022,12,17,2.96
6,0,4.2,9723,2022,12,17,5.213333
7,0,4.15,11524,2022,12,17,3.576667
8,0,0.27,13347,2022,12,17,0.27
9,0,0.06,14972,2022,12,17,0.228571
10,0,0.51,16773,2022,12,17,0.437143
11,0,0.51,18577,2022,12,17,1.431429
12,0,10.115,20540,2022,12,17,8.326667
13,0,0.51,22185,2022,12,17,0.83
14,0,0.51,23994,2022,12,17,1.444286
15,0,2.27,25934,2022,12,17,3.26
16,0,0.51,27733.5,2022,12,17,1.075
17,0,6.865,29528.5,2022,12,17,5.688333
18,0,15.36,31330,2022,12,17,14.611667
19,0,9.99,32986,2022,12,17,10.29
20,0,6.985,34335.5,2022,12,17,6.985
21,0,10.48,36893,2022,12,17,10.66
22,0,10.16,37808,2022,12,17,8.23
23,0,10.27,39601,2022,12,17,8.183333
24,0,4.1,42172,2022,12,17,4.095
25,0,10.61,43794,2022,12,17,11.492857
26,0,10.265,45771.5,2022,12,17,10.28
27,0,15.08,47389,2022,12,17,14.438571
28,0,10.71,49194,2022,12,17,10.414286
29,0,10.5,50986,2022,12,17,9.725714
30,0,10.27,52943.5,2022,12,17,8.356667
31,0,4.16,54737.5,2022,12,17,3.55
32,0,4.175,56551,2022,12,17,5.443333
33,0,10.4,58191,2022,12,17,9.55
34,0,15.67,59995,2022,12,17,13.354286
35,0,15.88,61799,2022,12,17,15.197143
36,0,15.81,63605,2022,12,17,15.19
37,0,15.77,65384,2022,12,17,15.732857
38,0,15.64,67185,2022,12,17,14.224286
39,0,10.78,68988,2022,12,17,12.084286
40,0,10.58,70936.5,2022,12,17,10.575
41,0,10.475,72763,2022,12,17,10.443333
42,0,4.96,74387,2022,12,17,6.094286
43,0,10.535,76341.5,2022,12,17,10.536667
44,0,10.45,78141,2022,12,17,8.421667
45,0,0.52,79818,2022,12,17,1.577143
46,0,4.02,81585,2022,12,17,2.618571
47,0,4.04,83397,2022,12,17,2.565714
48,0,0.52,85193,2022,12,17,1.52
1,0,0.51,1052.5,2022,12,18,1.038333
2,0,4.29,2538.5,2022,12,18,5.255
3,0,4.28,4334,2022,12,18,4.548333
4,0,4.28,6140.5,2022,12,18,4.501667
5,0,4.31,7934,2022,12,18,4.305
6,0,4.26,9728.5,2022,12,18,4.266667
7,0,2.38,11527,2022,12,18,2.39
8,0,0.52,13337,2022,12,18,0.52
9,0,0.515,15122.5,2022,12,18,0.508333
10,0,0.02,16783,2022,12,18,0.214286
11,0,0.505,18741,2022,12,18,1.033333
12,0,0.51,20386,2022,12,18,0.434286
13,0,0.46,22178,2022,12,18,0.292857
14,0,0.5,24129.5,2022,12,18,0.423333
15,0,0.02,25791,2022,12,18,0.228571
16,0,0.03,27735.5,2022,12,18,0.18
17,0,0.08,29555.5,2022,12,18,0.205
18,0,3.84,31216,2022,12,18,3
19,0,7.795,33132.5,2022,12,18,7.47
20,0,10.03,34944.5,2022,12,18,10.023333
21,0,9.96,36601,2022,12,18,7.887143
22,0,5.04,38547.5,2022,12,18,5.716667
23,0,5.03,40201,2022,12,18,3.224286
24,0,5.03,41984,2022,12,18,5.055714
25,0,9.89,43649.5,2022,12,18,9.9
26,0,9.9,45735.5,2022,12,18,9.93
27,0,10.005,47537,2022,12,18,9.171667
28,0,5,49336,2022,12,18,4.458333
29,0,2.085,51135.5,2022,12,18,2.08
30,0,0.79,52933,2022,12,18,0.783333
31,0,0.72,54727.5,2022,12,18,0.716667
32,0,0.71,56547.5,2022,12,18,0.645
33,0,0.75,58355.5,2022,12,18,0.746667
34,0,0.77,59988,2022,12,18,0.762857
35,0,0.78,61896,2022,12,18,2.057143
36,0,9.57,63741,2022,12,18,8.565
37,0,0.825,65544.5,2022,12,18,1.651667
38,0,0.73,67343.5,2022,12,18,0.661667
39,0,0.59,69142.5,2022,12,18,0.59
40,0,0.46,70935.5,2022,12,18,0.461667
41,0,0.46,72745,2022,12,18,0.461667
42,0,0.74,74539,2022,12,18,0.696667
43,0,0.77,76338.5,2022,12,18,0.676667
44,0,0.475,78145,2022,12,18,0.563333
45,0,0.02,79804,2022,12,18,0.02
46,0,0.02,81596,2022,12,18,0.148571
47,0,0.02,83390,2022,12,18,0.02
48,0,0.02,85208,2022,12,18,0.015714
1,0,0.01,915,2022,12,19,0.01
2,0,0.01,2396,2022,12,19,0.011429
3,0,0.01,4330.5,2022,12,19,0.01
4,0,0.01,6119.5,2022,12,19,0.01
5,0,0.01,7919,2022,12,19,0.01
6,0,0.01,9721,2022,12,19,0.01
7,0,0.01,11534,2022,12,19,0.01
8,0,0.01,13468,2022,12,19,0.01
9,0,0.01,15004,2022,12,19,0.01
10,0,0.01,16934.5,2022,12,19,0.09
11,0,0.01,18742,2022,12,19,0.171667
12,0,0.02,20383,2022,12,19,0.148571
13,0,0.03,22327.5,2022,12,19,0.111667
14,0,0.08,24132.5,2022,12,19,0.138333
15,0,0.47,25930,2022,12,19,0.848333
16,0,0.47,27575,2022,12,19,0.415714
17,0,0.315,29526,2022,12,19,0.273333
18,0,0.46,31327.5,2022,12,19,0.75
19,0,2.25,33134,2022,12,19,1.685
20,0,3.56,34926,2022,12,19,3.295
21,0,3.635,36728,2022,12,19,3.616667
22,0,2.26,38534.5,2022,12,19,2.246667
23,0,3.89,40340.5,2022,12,19,4.873333
24,0,3.875,42164,2022,12,19,3.615
25,0,6.475,43935,2022,12,19,6.7
26,0,7.02,45872,2022,12,19,7.546667
27,0,5.41,47378,2022,12,19,5.4175
28,0,3.055,49331,2022,12,19,3.055
29,0,3.86,50390,2022,12,19,3.86
30,0,3.91,52929.5,2022,12,19,4.42
